> Ready on http://192.168.1.90:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
> Access locally via http://localhost:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
> Access on network via http://192.168.1.90:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
2025-01-11T13:06:14.816Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:06:14.816Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:06:14.816Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:06:14.817Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:06:14.817Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:06:14.821Z - GET /_next/static/chunks/app/page-e70b07fe1f169291.js
2025-01-11T13:06:14.823Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:06:14.824Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:06:14.837Z - GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
2025-01-11T13:06:14.882Z - GET /customers?_rsc=1wtp7
2025-01-11T13:06:14.883Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:06:14.885Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:06:14.887Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:06:14.889Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:06:14.891Z - GET /favicon.ico
2025-01-11T13:06:14.894Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:06:14.896Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:06:14.900Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:06:15.278Z - GET /
2025-01-11T13:06:15.319Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:06:15.320Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:06:15.321Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:06:15.321Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:06:15.322Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:06:15.322Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:06:15.326Z - GET /_next/static/chunks/app/page-e70b07fe1f169291.js
2025-01-11T13:06:15.327Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:06:15.328Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:06:15.341Z - GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
2025-01-11T13:06:15.382Z - GET /customers?_rsc=1wtp7
2025-01-11T13:06:15.384Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:06:15.386Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:06:15.387Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:06:15.389Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:06:15.391Z - GET /favicon.ico
2025-01-11T13:06:15.394Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:06:15.398Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:06:15.399Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:06:15.545Z - GET /
2025-01-11T13:06:15.589Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:06:15.590Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:06:15.590Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:06:15.591Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:06:15.591Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:06:15.591Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:06:15.595Z - GET /_next/static/chunks/app/page-e70b07fe1f169291.js
2025-01-11T13:06:15.597Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
