> Ready on http://192.168.1.90:\\.\pipe\beebeb5a-f83f-4a93-872b-4c73a9cdd037
> Access locally via http://localhost:\\.\pipe\beebeb5a-f83f-4a93-872b-4c73a9cdd037
> Access on network via http://192.168.1.90:\\.\pipe\beebeb5a-f83f-4a93-872b-4c73a9cdd037
2025-01-11T13:15:42.734Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:15:42.896Z - GET /settings
2025-01-11T13:15:42.996Z - GET /?_rsc=1ivqj
2025-01-11T13:15:42.999Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:15:43.001Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:15:43.003Z - GET /customers?_rsc=1ivqj
2025-01-11T13:15:43.004Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:15:43.096Z - GET /settings
2025-01-11T13:15:43.181Z - GET /?_rsc=1ivqj
2025-01-11T13:15:43.185Z - GET /customers?_rsc=1ivqj
2025-01-11T13:15:43.187Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:15:43.188Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:15:43.195Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:15:43.275Z - GET /settings
2025-01-11T13:15:43.378Z - GET /?_rsc=1ivqj
2025-01-11T13:15:43.380Z - GET /customers?_rsc=1ivqj
2025-01-11T13:15:43.382Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:15:43.383Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:15:43.389Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:15:43.646Z - GET /settings
2025-01-11T13:15:43.744Z - GET /?_rsc=1ivqj
2025-01-11T13:15:43.746Z - GET /customers?_rsc=1ivqj
2025-01-11T13:15:43.747Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:15:43.748Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:15:43.750Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:15:43.804Z - GET /settings
2025-01-11T13:15:43.894Z - GET /?_rsc=1ivqj
2025-01-11T13:15:43.897Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:15:43.899Z - GET /customers?_rsc=1ivqj
2025-01-11T13:15:43.900Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:15:43.901Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:16:48.948Z - GET /settings
2025-01-11T13:16:48.998Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:16:49.004Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:16:49.004Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:16:49.004Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:16:49.005Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:16:49.005Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:16:49.028Z - GET /_next/static/chunks/app/settings/page-2525888b7c19c94f.js
2025-01-11T13:16:49.033Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:16:49.034Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:16:49.055Z - GET /favicon.ico
2025-01-11T13:16:51.881Z - GET /settings
2025-01-11T13:16:51.924Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:16:51.929Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:16:51.930Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:16:51.930Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:16:51.931Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:16:51.931Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:16:51.949Z - GET /_next/static/chunks/app/settings/page-2525888b7c19c94f.js
2025-01-11T13:16:51.958Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:16:51.959Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:16:51.978Z - GET /favicon.ico
2025-01-11T13:16:53.296Z - GET /
2025-01-11T13:16:53.351Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:16:53.351Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:16:53.352Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:16:53.352Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:16:53.353Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:16:53.353Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:16:53.375Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:16:53.376Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:17:01.681Z - GET /
2025-01-11T13:17:01.736Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:17:01.740Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:17:01.773Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:17:01.778Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:17:01.781Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:17:01.782Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:17:01.782Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:17:01.782Z - GET /_next/static/chunks/app/page-e70b07fe1f169291.js
2025-01-11T13:17:01.803Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:17:01.825Z - GET /favicon.ico
2025-01-11T13:17:03.535Z - GET /
2025-01-11T13:17:03.606Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:17:03.610Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:17:03.612Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:17:03.612Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:17:03.613Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:17:03.613Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:17:03.633Z - GET /_next/static/chunks/app/page-e70b07fe1f169291.js
2025-01-11T13:17:03.639Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:17:03.640Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:17:03.666Z - GET /favicon.ico
2025-01-11T13:17:38.759Z - GET /
2025-01-11T13:17:38.771Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:17:38.775Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:17:38.805Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:17:38.806Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:17:38.812Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:17:38.824Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:17:38.825Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:17:38.825Z - GET /_next/static/chunks/app/page-e70b07fe1f169291.js
2025-01-11T13:17:38.838Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:17:39.131Z - GET /favicon.ico
